Ticker,Current_Price,Market_Cap,P/E,P/B,P/S,PEG,EV/Revenue,EV/EBITDA,Profit_Margin,Operating_Margin,ROE,ROA,Revenue_Growth,Earnings_Growth,EPS_Growth_Expected,Current_Ratio,Quick_Ratio,D/E,Cash_Flow_Yield,Dividend_Yield,Payout_Ratio,Momentum_1M,Momentum_3M,Momentum_1Y,Pct_From_52W_High,Pct_From_52W_Low,Target_Price,Upside_Potential,Recommendation,Num_Analysts,EPS_TTM,EPS_Forward,Quality_Score,Value_Score,Growth_Score,Momentum_Score
AAPL,202.38,3022707228672,30.75684,53.72445,7.5498595,,7.868,22.683,0.24301,0.31028998,1.38015,0.23809999,0.051,0.078,26.291793313069917,0.821,0.68,146.994,0.03217364192916778,0.5,0.1558,-5.230626500647045,-1.3170742414190055,-7.5200244769212095,-22.191464821222613,19.602860351043073,232.4992,14.882498270580099,1.93333,38,6.58,8.31,25.0,6.666666666666667,5.5,9.0
MSFT,524.11,3895798530048,38.36823,11.34339,13.828423,,14.14,25.449,0.36146,0.44901,0.33280998,0.14203,0.181,0.237,9.443631039531471,1.353,1.221,32.661,0.015606653260699002,0.62,0.2375,5.065753317220515,20.6286025022761,29.28794428238945,-5.6422720316860255,52.008468923112616,594.5692,13.443590086050639,1.31034,51,13.66,14.95,25.0,7.333333333333333,4.0,4.333333333333333
GOOGL,189.13,2292482572288,20.163113,6.307908,6.1725597,,6.105,16.099,0.31118,0.32429,0.34829,0.16792,0.138,0.223,-4.477611940298506,1.904,1.72,11.481,0.02171728573810306,0.44,0.0864,5.347296432895747,15.441663829092867,14.03226473599338,-8.654914271915004,34.58336298299295,216.01288,14.213969227515467,1.54412,52,9.38,8.96,50.0,3.0,6.0,5.333333333333333
AMZN,214.75,2279871873024,32.736282,7.954882,3.505807,,3.919,20.205,0.1014,0.11823,0.2524,0.07632,0.086,0.622,-6.249999999999989,1.048,0.807,51.641,0.017226187636548193,,0.0,-3.8762828522249033,13.038217091016776,27.90351864598645,-11.450602012205183,41.64632939779697,257.90475,20.095343422584392,1.34783,63,6.56,6.15,25.0,4.0,7.0,7.0
TSLA,302.63,976117956608,182.30724,12.619574,10.527588,,10.477,85.618,0.063439995,0.04103,0.08177,0.02911,-0.118,-0.175,95.18072289156628,2.037,1.359,16.823,0.0013724006928990254,,0.0,-4.0336153027820805,5.3688969756240805,45.726394119675426,-38.05420231710812,66.28021978021977,306.32074,1.219555232462084,2.69565,40,1.66,3.24,25.0,7.666666666666667,5.5,6.333333333333333
NVDA,173.72,4236614041600,56.220066,50.529377,28.526506,,28.931,48.689,0.51694,0.49108002,1.15463,0.53244996,0.692,0.267,33.33333333333334,3.388,2.857,12.267,0.013086630219226058,0.02,0.0128999995,9.024729504584435,51.73105882958161,61.997652047898455,-5.226404800872893,100.55414453936733,182.79474,5.223773889016804,1.40909,57,3.09,4.12,50.0,9.333333333333334,1.5,1.0
META,750.01,1884130115584,27.24337,9.681296,10.537405,,10.906,20.683,0.39992002,0.43019,0.40647998,0.18465,0.216,0.384,-8.100254268071195,1.973,1.706,25.406,0.017054288974113815,0.27,0.0744,4.311482429080511,25.722257371965128,54.17259258622644,-4.426887543803761,66.37311446317656,842.22406,12.295044066079122,1.36765,62,27.53,25.3,50.0,5.333333333333333,5.5,3.0
JPM,289.37,804185243648,14.847101,2.3619149,4.914206,,1.284,,0.34546003,0.43749002,0.16211,0.012999999,-0.106,-0.144,-14.109799897383274,,,,,1.89,0.2718,-2.2398648648648636,15.149530276390049,48.57287529528857,-3.9563211523781123,51.5819800942902,303.57043,4.907360818329468,2.24,23,19.49,16.74,50.0,2.0,9.5,4.666666666666667
V,339.35,658658033664,33.172047,17.328806,16.935131,,17.29,24.797,0.52158,0.66772,0.51755,0.16971001,0.143,0.121,23.753665689149557,1.115,0.781,65.017,0.027298308367969034,0.68,0.2236,-5.436656676126549,-2.2112847181915907,28.223034186403094,-9.629570450853498,33.33464303956624,391.2789,15.302460586415204,1.66667,36,10.23,12.66,25.0,8.0,4.0,8.666666666666666
DIS,116.59,209599660032,23.793877,2.0124624,2.228835,,2.718,13.368,0.09475,0.15118,0.08894,0.04481,0.07,,5.10204081632653,0.668,0.541,39.432,0.04478537706867877,0.84,0.19389999,-5.9758064516129,26.59442919992856,31.30066970566718,-6.496110353677115,45.55555555555557,129.88889,11.406544300540356,1.7,27,4.9,5.15,0.0,1.6666666666666667,6.5,5.666666666666667
