Ticker,P/E,PEG,D/E,P/S,Cash_Flow_Yield,Profit_Growth,EPS_TTM,EPS_Forward,EPS_Diluted,EPS_Actual_Q,EPS_Expected_Q,EPS_Surprise,EPS_Surprise_Pct,EPS_Growth_YoY
AAPL,30.75684,,146.994,7.5498595,0.03217364192916778,0.048,6.58,8.31,,1.65,,,,-0.8116883116883088
MSFT,38.36823,,32.661,13.828423,0.015606653260699002,0.236,13.66,14.95,,3.66,,,,15.51433389544688
GOOGL,20.163113,,11.481,6.1725597,0.02171728573810306,0.194,9.38,8.96,,2.33,,,,39.2123287671233
AMZN,32.736282,,51.641,3.505807,0.017226187636548193,0.642,6.56,6.15,,1.62,,,,91.86440677966101
TSLA,182.30724,,16.823,10.527588,0.0013724006928990254,-0.163,1.66,3.24,,0.36,,,,-52.8111937773412
NVDA,56.220066,,12.267,28.526506,0.013086630219226058,0.262,3.09,4.12,,0.77,,,,145.45454545454547
META,27.24337,,25.406,10.537405,0.017054288974113815,0.362,27.53,25.3,,7.28,,,,62.014483212639895
JPM,14.847101,,,4.914206,,-0.174,19.49,16.74,,5.08,,,,21.78461538461538
V,33.172047,,65.017,16.935131,0.027298308367969034,0.082,10.23,12.66,,2.69,,,,17.490952955367927
DIS,23.793877,,39.432,2.228835,0.04478537706867877,,4.9,5.15,,1.81,,,,110.8527131782946
